pickup_cluster,min_latitude,max_latitude,min_longitude,max_longitude
0,59.4344,59.4731,24.6997,24.7265
1,59.4257,59.4485,24.7521,24.7686
2,59.343,59.3935,24.6286,24.678
3,59.4881,59.5587,24.7924,24.8701
4,59.414,59.4511,24.8229,24.8509
5,59.3622,59.4176,24.7108,24.7639
6,59.4217,59.4521,24.7165,24.738
7,59.4084,59.4351,24.6277,24.6732
8,59.4021,59.4383,24.7849,24.8166
9,59.3875,59.4593,24.57,24.6288
10,59.39,59.429,24.6686,24.6957
11,59.4366,59.4918,24.8664,24.92
12,59.4127,59.4354,24.6894,24.7225
13,59.4333,59.463,24.7286,24.7539
14,59.4673,59.5478,24.8388,24.9165
15,59.3739,59.4138,24.6516,24.6859
16,59.4297,59.4492,24.7683,24.794
17,59.4129,59.4411,24.7379,24.7594
18,59.34,59.4168,24.7636,24.8481
19,59.4172,59.4574,24.7941,24.823
20,59.4041,59.4293,24.7218,24.7574
21,59.3401,59.388,24.5715,24.6507
22,59.34,59.3909,24.6781,24.7305
23,59.3943,59.4167,24.6901,24.7117
24,59.428,59.4654,24.6582,24.702
25,59.3656,59.4284,24.8438,24.9054
26,59.3864,59.4283,24.6081,24.656
27,59.422,59.467,24.8438,24.8709
28,59.4509,59.4849,24.8157,24.8494
29,59.4083,59.4353,24.7596,24.786
